Cod;Cargo
3739;MEDICO PEDIATRA_CONTRATADO
3740;MEDICO GINECOLOGISTA OBSTETRA_CONTRATADO
3744;FARMACEUTICO BIOQUIMICO CONTRATADO
3748;ATENDENTE DE ENFERMAGEM/FUNASA
3749;AUXILIAR DE SANEAMENTO/FUNASA
3750;ASS. SOCIAL_CONTRATADO
3751;GUARDA DE ENDEMIAS
3753;AUX.ENFERM_CONTRATADO FUNASA
3756;TEC.LABORATORIO_CONTRATADO
3757;FISIOTERAPEUTA_CONTRATADO
3758;MAQUEIRO
3759;ARTESAO_CONTRATADO
3760;TEC.EM NUTRICAO_contratado
3761;MEDICO RADIOLOGISTA_contratado
3762;EDUCADOR FISICO_contratado
3763;ENFERMEIRO(A) OBSTETRA_CONTRATADO
3771;MEDICO CIRURGIAO VASCULAR_CONTRATADO
3774;ENFERMEIRO(A) DO TRABALHO_CONTRATADO
3795;ALMOXARIFE_CONTRATADO
3797;MEDICO ULTRASSONOGRAFISTA_CONTRATADO
3798;AUXILIAR DE FARMACIA CONTRATADO
3799;COZINHEIRO_CONTRATADO
3801;TEC. ENFERM. INSTRUMENTADOR CIRURGICO_CONTRATRADO
3802;COORD. DO CENTRO DE CONT. ZOONOSES-CCZ
3804;MEDICO DO TRABALHO _CONTRATADO
3805;AG.DE ZOONOSES_CONTRATADO
3806;ENG.SANITARISTA_CONTRATADO
3808;RADIO OPERADOR_CONTRATADO
3809;ENGENHEIRO CIVIL-CONTRATADO
3814;FONOAUDIOLOGO(A)_CONTRATADO
